Nro.	Modular	Estante	Cod	Modulo_Estanteria	Fila	Materia	Titulo	Autor	Idioma	Tipo	Pais de Origen	Editorial	Fecha_edicion	Edicion	Nro_ejemplares	Estado Fisico	Observaciones
963	2M-6E	Fila 2	MaM  26	F	F1	Manuales	Metodología para la Exploración de Carbón	ARAUZ, L. A.	Español	Manuales - metodología	Quito-Ecuador	OLADE	1980	Primera	3	Bueno	
964	2M-6E	Fila 2	MaM  27	F	F1	Manuales	Manual de Reutilización de Residuos de la Industria Minera, Siderometalúrgica y Termoeléctrica 	Instituto Tecnológico Geo-Minero de España	Español	Manuales - metodología	Madrid-España	Instituto Tecnológico Geominero de España	1995	Primera	2	Bueno	
965	2M-6E	Fila 2	MaM  28	F	F1	Manuales	Manual de Arranque Carga y Transporte en Minería a Cielo Abierto	Instituto Tecnológico Geo-Minero de España	Español	Manuales - metodología	Madrid-España	Instituto Tecnológico Geominero de España	1995	Primera	1	Bueno	
966	2M-6E	Fila 2	MaM  29	F	F1	Manuales	Field geologists’ manual  (copia)	BERKMAN D. A., RYALL, W.R. 	Ingles	Manuales - metodología	Australia	Australasian Institute Of Mining and Metallurgy	1976	Primera	1	Bueno	
967	2M-6E	Fila 2	MaM  30	F	F1	Manuales	Pizarras de España	Instituto Tecnológico Geo-Minero de España	Español	Manuales - metodología	España	Instituto Tecnológico Geominero de España	1992	Primera	1	Bueno	
968	2M-6E	Fila 2	MaM  31	F	F1	Manuales	Mármoles de España	Instituto Tecnológico Geo-Minero de España	Español	Manuales - metodología	España	Instituto Tecnológico Geominero de España	1991	Primera	1	Bueno	
969	2M-6E	Fila 2	MaM  32	F	F1	Manuales	Granitos de España	Instituto Tecnológico Geo-Minero de España	Español	Manuales - metodología	España	Instituto Tecnológico Geominero de España	1991	Primera	1	Bueno	
970	2M-6E	Fila 2	MaM  33	F	F1	Manuales	Manual Sobre el Manejo de Peligros Naturales en la Planificación para el Desarrollo Regional Integrado	Organización de Estados Americanos	Ingles	Manuales - metodología	Washington-EEUU	OEA	1993	Primera	1	Bueno	
971	2M-6E	Fila 2	MaM  34	F	F1	Manuales	Mineral Powder Diffraction File. Search Manual	BAYLISS, P., BERRY, L., MROSE, M. E., SMITH, D. K.	Ingles	Manuales - metodología	EEUU	International Centre For Diffraction Data	1980	Primera	1	Bueno	
972	2M-6E	Fila 2	MaM  35	F	F1	Manuales	Metodología y Técnicas para Prospección y Valoración de Placeres Aluviales con Casiterita	AZCARATE MARTIN, J. E.	Español	Manuales - metodología	Madrid-España	ENADIMSA	1972	Primera	1	Malo	
