Nro.	Modular	Estante	Cod	Modulo_Estanteria	Fila	Materia	Titulo	Autor	Idioma	Tipo	Pais de Origen	Editorial	Fecha_edicion	Edicion	Nro_ejemplares	Estado Fisico	Observaciones
1	1M-1E	Fila 1	M 01	D	D2	Mineralogía	Tratado de Mineralogía 	KLOCKMANN, F., RAMDOHR, P.	Español	Libro	Barcelona-España	Gustavo Gili S.A	1947	Doceava	1	Bueno	
2	1M-1E	Fila 1	M 02	D	D2	Mineralogía	Mineralogy of Rare Elements Vol. II	VLASOV, K. A.	Ingles	Libro	Jerusalem-Israel	S. Monson	1964	Primera	1	Bueno	
3	1M-1E	Fila 1	M 03	D	D2	Mineralogía	A Textbook of Mineralogy Crystallography and Physical mineralogy	FORD, W.E.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1966	Cuarta	2	Bueno	a y b
4	1M-1E	Fila 1	M 04	D	D2	Mineralogía	Modern Mineralogy 	FRYE, K.	Ingles	Libro	New Jersey-EEUU	Prentice Hall, INC	1974	Primera	2	Bueno	
5	1M-1E	Fila 1	M 05	D	D2	Mineralogía	Mineralogy	BERRY, L. G., MASON, B.	Ingles	Libro	San Francisco-EEUU	W.H. Freeman and Company	1959	Primera	1	Bueno	
6	1M-1E	Fila 1	M 06	D	D2	Mineralogía	Dana's system of Mineralogy Vol. I 1/3	PALACHE, Ch., BERMAN, H., FRONDEL., C.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1949	Séptima	1	Bueno	
7	1M-1E	Fila 1	M 07	D	D3	Mineralogía	Dana's system of Mineralogy Vol. 2 2/3	PALACHE, Ch., BERMAN, H., FRONDEL, C.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1951	Séptima	1	Bueno	
8	1M-1E	Fila 1	M 08	D	D3	Mineralogía	Dana's system of Mineralogy Vol. 3 3/3	FRONDEL, C.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Séptima	1	Bueno	
9	1M-1E	Fila 1	M 09	D	D3	Mineralogía	Tratado de Mineralogía	DANA, E. S., FORD, W.E.	Español	Libro	MÉXICO D.F	Compañía Editorial Continental S.A	1971	Cuarta	1	Bueno	
10	1M-1E	Fila 1	M 10	D	D3	Mineralogía	Mineralogy An introduction to the study of minerals and crystals	KRAUS, H., HUNT, W., RAMSDELL, L.	Ingles	Libro	Michigan-EEUU	McGraw-Hill	1959	Quinta	1	Bueno	
11	1M-1E	Fila 1	M 11	D	D3	Mineralogía	Introduction to the Study of Minerals	ROGERS, A.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1937	Tercera	1	Bueno	
12	1M-1E	Fila 1	M 12	D	D3	Mineralogía	The World's Minerals	SPENCER, L. J.	Ingles	Libro	Nueva York-EEUU	Frederick A. Stokes	1916	Primera	1	Bueno	
13	1M-1E	Fila 1	M 13	D	D3	Mineralogía	Minerals and How to  Study Them	DANA, E.S.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1949	Tercera	1	Malo	
14	1M-1E	Fila 1	M 14	D	D3	Mineralogía	Rutley's Elements of Mineralogy	READ, H. H.	Ingles	Libro	Gran Bretaña	Thomas Murby & CO.	1976	Veintiseis	1	Bueno	
15	1M-1E	Fila 1	M 15	D	D3	Mineralogía	Mineralogía y Geología	ROUQUETTE, A.	Español	Libro	Buenos Aires-Argentina	Cabaut y Cía.	1931	Segunda	1	Malo	
16	1M-1E	Fila 1	M 16	D	D3	Mineralogía	Atlas de Bolsillo  Mineralogía (1)	PARDILLO, F.	Español	Atlas	Barcelona-España	Orbis	1957	Primera	1	Malo	
17	1M-1E	Fila 1	M 17	D	D3	Mineralogía	Atlas de Bolsillo Mineralogía  (2)	PARDILLO, F.	Español	Atlas	Barcelona-España	Orbis	1955	Primera	1	Malo	
18	1M-1E	Fila 1	M 18	D	D3	Mineralogía	Mineralogía General	BRAUNS, R.	Español	Libro	México D.F	Unión Tipográfica Editorial Hispanoamericano	1961	Primera	1	Malo	
19	1M-1E	Fila 1	M 19	D	D3	Mineralogía	Mineralogical Association of Canadá	MUECKE, G. K.	Ingles	Libro	Canada	S/E	1980	Primera	3	Bueno	a,b,b
20	1M-1E	Fila 2	M 20	D	D3	Mineralogía	Clay Mineralogy 	GRIM, R. E.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1968	Segunda	3	Bueno	
21	1M-1E	Fila 2	M 21	D	D3	Mineralogía	Applied Clay Mineralogy	GRIM, R. E.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1962	Primera	1	Bueno	
22	1M-1E	Fila 2	M 22	D	D3	Mineralogía	Mineralogy and Geology of Radioactive Raw Materials	HEINRICH, E. Wm.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1958	Primera	1	Bueno	
23	1M-1E	Fila 2	M 23	D	D3	Mineralogía	Lunar Mineralogy	FRONDEL, J. W.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1975	Primera	1	Bueno	
24	1M-1E	Fila 2	M 24	D	D3	Mineralogía	Gems and Gem Materials	KRAUS, E., SLAWSON, Ch.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1947	Quinta	1	Bueno	
25	1M-1E	Fila 2	M 25	D	D3	Mineralogía	Rock – Forming Minerals Vol. 1	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Primera	1	Bueno	
26	1M-1E	Fila 2	M 26	D	D3	Mineralogía	Rock – Forming Minerals Vol. 2	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1963	Primera	1	Bueno	
27	1M-1E	Fila 2	M 27	D	D3	Mineralogía	Rock – Forming Minerals Vol. 3	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Primera	1	Bueno	
28	1M-1E	Fila 2	M 28	D	D3	Mineralogía	Rock – Forming Minerals Vol. 4	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1963	Primera	1	Bueno	
29	1M-1E	Fila 2	M 29	D	D3	Mineralogía	Rock – Forming Minerals Vol. 5	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Primera	1	Bueno	
30	1M-1E	Fila 2	M 30	D	D3	Mineralogía	Rock-forming minerals, Volume 1A Orthosilicates	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	Longman Group Limited	1978	Segunda	1	Bueno	
31	1M-1E	Fila 2	M 31	D	D3	Mineralogía	Rock-forming minerals, Volume 2A Single-Chain Silicates	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	Longman Group Limited	1982	Segunda	1	Bueno	
32	1M-1E	Fila 2	M 32	D	D3	Mineralogía	Atlas of rock-forming minerals in thin section	MACKENZIE, W.S.,  GUILFORD, C.	Ingles	Atlas	EEUU	Longman Group Limited	1993	Primera	1	Bueno	
33	1M-1E	Fila 2	M 33	D	D3	Mineralogía	Photographical atlas of detrital minerals	DEVISMES, P.	Ingles/Frances	Atlas	Francia	B.R.G.M	1978	Primera	1	Bueno	
34	1M-1E	Fila 2	M 34	D	D3	Mineralogía	Minas y Minerales de Iberoamérica	CALVO P.B., GONZALEZ, J	Español	Libro	España	(Ministerio de Industria, Comercio y Turismo)	1992	Primera	1	Bueno	
35	1M-1E	Fila 2	M 35	D	D3	Mineralogía	Mineralogy for metallurgists an illustrated guide	FANDER, H. W.	Ingles	Libro	Inglaterra	The Institution of Mining and Metallurgy	1985	Primera	1	Bueno	
36	1M-1E	Fila 2	M 36	D	D3	Mineralogía	Les Mineralisation Actuelles et Anciennes: L'Example de la Mer Rouge	POUIT, G., BIGOT, M., DELFOUR,J., MILESI, J.P.	Ingles	Libro	Francia	B.R.G.M	1981	Primera	1	Malo	
37	1M-1E	Fila 2	M 37	D	D3	Mineralogía	Earth Materials	GASS, I., BUTCHER, N., CLARK, P., FRANCIS, P., JACKSON, D., McCURRY, P.	Ingles	Libro	Londres-Reino Unido	The Open University 	1973	Primera	1	Malo	
38	1M-1E	Fila 2	M 38	D	D3	Mineralogía	Mineraux Dex Gites	BOLFA, J.	Ingles	Libro	Francia	NANCY	s/f	Primera	1	Malo	
39	1M-1E	Fila 2	M 39	D	D3	Mineralogía	Cours de Mineralogie Structurale des silicates	KERN,R., BOLFA, J	Frances	Libro	Francia	NANCY	1962	Segunda	1	Malo	
40	1M-1E	Fila 2	M 40	D	D3	Mineralogía	Applied Mineralogy. A quantitative approach	JONES, M. P.	Ingles	Libro	Londres-Reino Unido	Graham & Trotman Ltd	1987	Primera	1	Bueno	
41	1M-1E	Fila 2	M 41	D	D3	Mineralogía	Mineral Use Guide or Roberston's Spiders' Webs	ROBERTSON, R.H.S.	Ingles	Guia	Londres-Reino Unido	Cleaver Hume Press LTD	1960	Primera	1	Bueno	
42	1M-1E	Fila 2	M 42	D	D3	Mineralogía	Inventaire mineralogique de la France N° 7	PIERROT, R., PULOU, R., PICOT, P.	Frances	Libro	Francia	B.R.G.M	1977	Primera	1	Bueno	
43	1M-1E	Fila 2	M 43	D	D3	Mineralogía	Les Minéraux en Grains méthodes d'étude et détermination	PARFENOFF A.,  POMEROL, C., TOURENQ, J.	Frances	Libro	París-Francia	Masson ET	1970	Primera	2	Malo	
44	1M-1E	Fila 2	M 44	D	D3	Mineralogía	Determination des Mineraux des Roches au Microscope Polarisant	ROUBAULT, M., FABRIES, J., TOURET, J., WEISBROD, A.	Frances	Libro	París-Francia	Lamarre Poinat	1963	Primera	2	Malo	
45	1M-1E	Fila 3	M 45	D	D3	Mineralogía	Mineral Recognition	VANDERS, I., KERR, P.F.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1967	Primera	1	Bueno	
46	1M-1E	Fila 3	M 46	D	D4	Mineralogía	The Techniques of Sedimentary Mineralogy: Developments in Sedimentology	TICKELL, F.G.	Ingles	Libro	Netherlands-Amsterdam	Elsevier Publishing Company	1965	Primera	1	Bueno	
47	1M-1E	Fila 3	M 47	D	D4	Mineralogía	Identification of Mineral Grains 	JONES, M., FLEMING, M.	Ingles	Libro	Netherlands-Amsterdam	Elsevier Publishing Company	1965	Primera	1	Bueno	
48	1M-1E	Fila 3	M 48	D	D4	Mineralogía	Identificación Microscópica de los Minerales	HEINRICH, E. Wm. 	Español	Libro	Bilbao-España	URMO	1970	Primera	1	Bueno	
49	1M-1E	Fila 3	M 49	D	D4	Mineralogía	The physics and Chemistry of Minerals and Rocks	STRENS, R. G.J.	Ingles	Libro	Gran Bretaña	John Wiley and Sons, INC	1976	Primera	1	Bueno	
50	1M-1E	Fila 3	M 50	D	D4	Mineralogía	Physical Methods in Determinative Mineralogy	ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	Academic Press	1967	Primera	1	Bueno	
51	1M-1E	Fila 3	M 51	D	D4	Mineralogía	Earth Materials	ERNST, W. G. 	Ingles	Libro	California-EEUU	Prentice Hall, INC	1969	Primera	1	Malo	
52	1M-1E	Fila 3	M 52	D	D4	Mineralogía	Handbook of Uranium Minerals: A Practical Guide for Uranium Prospecting	DeMENT, J., DAKE, H.C.	Ingles	Libro	Oregon-EEUU	Mineralogist Publishing Company	1948	Segunda	1	Malo	
53	1M-1E	Fila 3	M 53	D	D4	Mineralogía	The Powder Method in x- ray crystallography	AZAROFF, L., BUERGER, M. 	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1958	Primera	1	Bueno	
54	1M-1E	Fila 3	M 54	D	D4	Mineralogía	Nature of Earth Materials	TENNISSEN, A.C.	Ingles	Libro	New Jersey-EEUU	Prentice Hall, INC	1974	Primera	1	Bueno	
55	1M-1E	Fila 3	M 55	D	D4	Mineralogía	An Index of Mineral Species and Varieties Arranged Chemically	HEY, M.H.	Ingles	Libro	Gran Bretaña	Jarold ans Sons LTD	1962	Segunda	1	Bueno	
56	1M-1E	Fila 3	M 56	D	D4	Mineralogía	Ultraviolet Guide to Minerals	GLEASON, S.	Ingles	Libro	New Jersey-EEUU	D. VAN NOSTRAND COMPANY, INC.	1960	Primera	1	Bueno	
57	1M-1E	Fila 3	M 57	D	D4	Mineralogía	Methods of Silicate Analysis	BENNETT, H., HAWLEY, W.G.	Ingles	Libro	New York-EEUU	Academic Press	1965	Primera	1	Bueno	
58	1M-1E	Fila 3	M 58	D	D4	Mineralogía	Synchrotron Radiation Applications in Mineralogy and Petrology	AUGUSTITHIS, S.S.	Ingles	Libro	Atenas-Grecia	Theophrastus Publishing & Proprietary CO, S.A	1988	Primera	1	Bueno	
59	1M-1E	Fila 3	M 59	D	D4	Mineralogía	Mass Spectrometry	McDOWELL, Ch.A. 	Ingles	Libro	Vancouver-Canada	McGraw-Hill	1963	Primera	1	Bueno	
60	1M-1E	Fila 3	M 60	D	D4	Mineralogía	Glosario de Minerales	LACHOWICZ, H.	Español	Glosario	Quito-Ecuador	Escuela Politécnica Nacional	2003	Primera	1	Bueno	
61	1M-1E	Fila 3	M 61	D	D4	Mineralogía	Mineralogía Aplicada, para ingenieros, técnicos y estudiantes	 KIRSCH, H	Español	Libro	Buenos Aires-Argentina	Editorial Universitaria de Buenos Aires	1980	Primera	1	Bueno	
62	1M-1E	Fila 3	M 62	D	D4	Mineralogía	Dana´s Manual of Mineralogy	HURLBUT, C. S	Ingles	Libro	New York-EEUU	John Wiley and Sons, INC	1966	Decimo séptima	1	Bueno	
63	1M-1E	Fila 3	M 63	D	D4	Mineralogía	Manual de Mineralogía 4ta. Edición	KLEIN, C., HURLBUT, C.S.	Español	Manual	Barcelona- España	Reverté S.A	1996	Cuarta	1	Bueno	
64	1M-1E	Fila 3	M 64	D	D4	Mineralogía	Manual de Mineralogía 4ta. Edición Vol. 2	KLEIN, C., HURLBUT, C.S.	Español	Manual	Barcelona- España	Reverté S.A	1997	Cuarta	1	Bueno	
65	1M-1E	Fila 3	M 65	D	D4	Mineralogía	Mineral industry costs	HOSKINS, J.R	Ingles	Libro	EEUU	Northwest Mining Association	s/f	Primera	1	Malo	
66	1M-1E	Fila 3	M 66	D	D4	Mineralogía	Notes sur L´identification des mineraux noirs les plus frequents des concentres alluvionnaires et eluvionnaires.	WASILEWSKI, I.	Frances	Libro	Francia	BUGECO	1983	Primera	1	Malo	
67	1M-1E	Fila 3	M 67	D	D4	Mineralogía	Mineralogy, blowpipe analysis and crystallography	WILEY J.	Ingles	Libro	Boston-EEUU	John Wiley and Sons, INC	1911	Segunda	1	Malo	
68	1M-1E	Fila 3	M 68	D	D4	Mineralogía	An introduction to the rock forming minerals	DEER, W., HOWIE, R., ZUSSMAN, J.	ingles	Libro	N/A	Prentice Hall, INC	1992	Segunda	1	Bueno	
69	1M-1E	Fila 4	MOM 01	D	D4	Mineralogía óptica - métodos	X – Ray Powder Data For Ore Minerals The Peacock Atlas	BERRY, L. G., THOMPSON, R.M.	Ingles	Libro	New York-EEUU	The Geological Society of America	1962	Primera	1	Bueno	
70	1M-1E	Fila 4	MOM 02	D	D4	Mineralogía óptica - métodos	Optical Mineralogy 	KERR, P.F.	Ingles				1977	Primera	1	Bueno	
71	1M-1E	Fila 4	MOM 03	D	D4	Mineralogía óptica - métodos	Elements of Optical Mineralogy, Part II.  Description of minerals	WINCHELL, A.N., WINCHELL, H.	Ingles	Libro	New York-EEUU	John Wiley and Sons, INC	1967	Cuarta	1	Bueno	
72	1M-1E	Fila 4	MOM 04	D	D4	Mineralogía óptica - métodos	Elements of Optical Mineralogy, Part III. Determinative Tables	WINCHELL, A.N.	Ingles	Libro	EEUU	John Wiley and Sons, INC	1966	Segunda	1	Bueno	
73	1M-1E	Fila 4	MOM 05	D	D4	Mineralogía óptica - métodos	Methods in Chemical and Mineral Microscopic	EL HINNAWI, E.E.	Ingles	Libro	Netherlands-Amsterdam	Elsevier Publishing Company	1966	Primera	1	Bueno	
74	1M-1E	Fila 4	MOM 06	D	D4	Mineralogía óptica - métodos	Lecciones de Cristalografía y de Mineralogía óptica	SEMANATE, A.D.	Español	Libro	Quito-Ecuador	Talleres Gráficos de Educación	1942	Primera	1	Malo	
75	1M-1E	Fila 4	MOM 07	D	D4	Mineralogía óptica - métodos	Microscopic Identification of Minerals	HEINRICH, E. Wm.	Ingles	Libro	EEUU	McGraw-Hill	1965	Primera	1	Bueno	
76	1M-1E	Fila 4	MOM 08	D	D4	Mineralogía óptica - métodos	Optical Properties of Minerals. A determinative Table	WINCHELL, H.	Ingles	Libro	New York-EEUU	Academic Press	1965	Primera	1	Bueno	
77	1M-1E	Fila 4	MOM 09	D	D4	Mineralogía óptica - métodos	Ore Microscopy	CAMERON, E.N.	Ingles	Libro	New York-EEUU	John Wiley and Sons, INC	1961	Primera	1	Bueno	
78	1M-1E	Fila 4	MOM 10	D	D4	Mineralogía óptica - métodos	Applied ore microscopy theory and technique	 FREUND, H.	Ingles				1966	Primera	1	Bueno	
79	1M-1E	Fila 4	MOM 11	D	D4	Mineralogía óptica - métodos	Modern Optical Methods of Analysis	OLSEN, D. E.	Ingles	Libro	EEUU	McGraw-Hill	1975	Primera	1	Bueno	
80	1M-1E	Fila 4	MOM 12	D	D4	Mineralogía óptica - métodos	Tables for microscopic identification of ore minerals	UYTENBOGAARDT, W., BURKE, E. A. J.	Ingles	Libro	New York-EEUU	Hafner Publishing CO.	1971	Primera	1	Bueno	
81	1M-1E	Fila 4	MOM 13	D	D4	Mineralogía óptica - métodos	Tables for Microscopic Identification of Ore Minerals	UYTENBOGAARDT, W.	Ingles	Libro	Netherlands-Amsterdam	Elsevier Publishing Company	1968	Segunda	1	Bueno	
82	1M-1E	Fila 4	MOM 14	D	D4	Mineralogía óptica - métodos	Mineral Tables. Hand-Specimen Properties of 1500 Minerals	DIETRICH, R.V.	Ingles	Glosario	EEUU	McGraw-Hill	1969	Primera	1	Malo	
83	1M-1E	Fila 4	MRxM 01	D	D4	Rayos X - Métodos	X - Ray Difraction Tables	FANG, J. H., BLOSS, F. D.	Ingles	Libro	EEUU	Feffer & Simons, Inc	1966	Primera	1	Bueno	
84	1M-1E	Fila 4	MRxM 02	D	D4	Rayos X - Métodos	Diffraction des rayonnements	KERN. R.	Frances	Libro	Francia	NANCY	s/f	Primera	1	Malo	
85	1M-1E	Fila 4	MRxM 03	D	D4	Rayos X - Métodos	Laboratory Experiments in X- Ray Cristallography	AZAROFF, L. V., DONAHUE, R.	Ingles	Libro	EEUU	McGraw-Hill	1969	Primera	2	Malo	
86	1M-1E	Fila 4	MRxM 04	D	D4	Rayos X - Métodos	X-Ray and optical observation on the K-feldspars from the Ragunda Area, central Swedes	KORNKFALT, K.A.	Ingles	Libro	Estocolmo-Suiza	Boktryckeriet P.A	1969	Primera	1	Bueno	
87	1M-1E	Fila 4	MRxM 05	D	D4	Rayos X - Métodos	Introducción a la Determinación de Minerales por Difracción de Rayos X	BEDLIVY, D., ARCIDIACONO,E.	Español	Libro	Buenos Aires-Argentina	Asociación Argentina de Mineralogía	1978	Primera	1	Malo	
88	1M-1E	Fila 4	MRxM 06	D	D4	Rayos X - Métodos	X - Ray Difraction Procedures	KLUG, H.P., ALEXANDER, L.E.	Ingles	Libro	New York-EEUU	John Wiley and Sons, INC	1954	Segunda	1	Bueno	
89	1M-1E	Fila 4	MRxM 07	D	D4	Rayos X - Métodos	X - Ray Difraction Methods	NUFFIELD, E. W.	Ingles	Libro	EEUU	John Wiley and Sons, INC	1966	Primera	1	Bueno	
90	1M-1E	Fila 4	MRxM 08	D	D4	Rayos X - Métodos	X - Ray Crystallography	BUERGER, M. J.	Ingles	Libro	EEUU	John Wiley and Sons, INC	1942	Primera	1	Bueno	
91	1M-1E	Fila 5	MC 01	D	D4	Cristalografía	Cours de Cristallographie Geometrique et Physique	KERN, R.	Frances	Libro	París-Francia	NANCY	1962	Primera	1	Malo	
92	1M-1E	Fila 5	MC 02	D	D4	Cristalografía	Optical Crystallography	WAHLSTROM, E.E.	Ingles	Libro	EEUU	John Wiley and Sons, INC	1969	Cuarta	1	Bueno	
93	1M-1E	Fila 5	MC 03	D	D4	Cristalografía	Crystal Structures of Minerals 	BRAGG, L., CLARINGBULL, G.F., TAYLOR, W.H.	Ingles	Libro	Londres-Reino Unido	G. BELL & SONS,LTD	1965	Primera	1	Bueno	
94	1M-1E	Fila 5	MC 04	D	D5	Cristalografía	Contemporary Crystallography	BUERGER, M.J.	Ingles	Libro	EEUU	McGraw-Hill	1970	Primera	2	Bueno	
95	1M-1E	Fila 5	MC 05	D	D5	Cristalografía	Crystal Structures Vol.2	WYCKOFF, R.W.	Ingles	Libro	EEUU	Interscience publishers	1964	Segunda	1	Bueno	
96	1M-1E	Fila 5	MC 06	D	D5	Cristalografía	Crystal Structures Vol.4	WYCKOFF, R.W.	Ingles	Libro	EEUU	Interscience publishers	1968	Segunda	1	Bueno	
97	1M-1E	Fila 5	MC 07	D	D5	Cristalografía	Crystal Structures Vol.5	WYCKOFF, R.W.	Ingles	Libro	EEUU	Interscience publishers	1966	Segunda	1	Malo	
98	1M-1E	Fila 5	MC 08	D	D5	Cristalografía	Crystal Structures Vol.6 part 1	WYCKOFF, R.W.	Ingles	Libro	EEUU	Interscience publishers	1969	Segunda	1	Bueno	
99	1M-1E	Fila 5	MC 09	D	D5	Cristalografía	Crystal Structures Vol. 6 part 2	WYCKOFF, R.W.	Ingles	Libro	EEUU	Interscience publishers	1971	Segunda	1	Bueno	
100	1M-1E	Fila 5	MC 10	D	D5	Cristalografía	An Introduction to Crystal Chemistry	EVANS, R. C.	Ingles	Libro	Gran Bretaña	Cambridge University Press	1966	Segunda	1	Malo	
101	1M-1E	Fila 5	MC 11	D	D5	Cristalografía	Fourier methods in crystallography	RAMACHANDRAN, G.N., SRINIVASAN, R.	Ingles	Libro	EEUU	Interscience publishers	1970	Segunda	1	Bueno	
102	1M-1E	Fila 5	MC 12	D	D5	Cristalografía	An Introduction to Cristallography	PHILLIPS, F. C.	Ingles	Libro	Gran Bretaña	Longman Group Limited	1963	Primera	1	Bueno	
103	1M-1E	Fila 5	MC 13	D	D5	Cristalografía	Introducción a la Cristalografía	PHILLIPS, F. C.	Español	Libro	Madrid- España	Paraninfo	1972	Primera	1	Malo	
104	1M-1E	Fila 5	MC 14	D	D5	Cristalografía	Cristales Iónicos, Defectos Reticulares y no Estequiometría	GREENWOOD, N.N.	Español	Libro	Madrid- España	Alhambra	1970	Primera	1	Bueno	
105	1M-1E	Fila 5	MC 15	D	D5	Cristalografía	Problemas de Cristalografía	DUCROS, P., LAJZEROWICZ-BONNETEALI, J.	Español	Libro	Madrid- España	Paraninfo	1968	Primera	1	Malo	
106	1M-1E	Fila 5	MC 16	D	D5	Cristalografía	Elements of X-Ray Crystallography	AZAROFF, L. V.	Ingles	Libro	EEUU	McGraw-Hill	1968	Primera	1	Bueno	
107	1M-1E	Fila 5	MC 17	D	D5	Cristalografía	Thermodynamics of Crystals	WALLACE, D.C.	Ingles	Libro	Canada	John Wiley and Sons, INC	1972	Primera	1	Bueno	
108	1M-1E	Fila 5	MC 18	D	D5	Cristalografía	Terminología cristalográfica	GARZA, M.	Español	Libro	Guayaquil-Ecuador	Universidad de Guayaquil	1977	Primera	1	Bueno	
109	1M-2E	Fila 1	P 01	D	D5	Petrología	A Descriptive Petrography of the Igneous Rocks  Vol. 1 	JOHANNSEN, A.	Ingles	Libro	Chicago-EEUU	The University of Chicago Press	1939	Primera	1	Bueno	
110	1M-2E	Fila 1	P 02	D	D5	Petrología	A Descriptive Petrography of the Igneous Rocks  Vol. 2	JOHANNSEN, A.	Ingles	Libro	Chicago-EEUU	The University of Chicago Press	1941	Primera	1	Bueno	
111	1M-2E	Fila 1	P 03	D	D5	Petrología	A Descriptive Petrography of the Igneous Rocks  Vol. 3 	JOHANNSEN, A.	Ingles	Libro	Chicago-EEUU	The University of Chicago Press	1970	Primera	1	Bueno	
112	1M-2E	Fila 1	P 04	D	D5	Petrología	A Descriptive Petrography of the Igneous Rocks  Vol. 4	JOHANNSEN, A.	Ingles	Libro	Chicago-EEUU	The University of Chicago Press	1969	Primera	1	Bueno	
113	1M-2E	Fila 1	P 05	D	D5	Petrología	Tratado de Geología, Petrología. Tomo I	AUBOUIN, J., BROUSSE, R., LEHMAN, J.P.	Español	Libro	Barcelona-España	Ediciones Omega	1981	Primera	1	Bueno	
114	1M-2E	Fila 1	P 06	D	D5	Petrología	Introducción a la Petrología	BAYLY, B.	Español	Libro	Madrid- España	Prentice Hall, INC	1972	Primera	2	Bueno	
115	1M-2E	Fila 1	P 07	D	D5	Petrología	Principios de  Petrología: Introducción al estudio de la ciencia de las rocas	TYRRELL, G. W.	Español	Libro	Mexico D.F	Compañía Editorial Continental S.A	1978	Primera	2	Bueno	
116	1M-2E	Fila 1	P 08	D	D5	Petrología	Petrografía: Introducción al Estudio de las Rocas en Secciones Delgadas	WILLIAMS, H., TURNER, F., GILBERT, Ch. M.	Español	Libro	Mexico D.F	Compañía Editorial Continental S.A	1968	Primera	2	Malo	
117	1M-2E	Fila 1	P 09	D	D5	Petrología	Petrology	HUANG, W.T.	Ingles	Libro	New York-EEUU	McGraw-Hill	1962	Primera	1	Bueno	
118	1M-2E	Fila 1	P 10	D	D5	Petrología	Petrografía Microscópica	HEINRICH, E. W.M	Español	Libro	Barcelona-España	Ediciones Omega	1972	Segunda	1	Malo	
119	1M-2E	Fila 1	P 11	D	D5	Petrología	Petrografía	BRUHNS, W.	Español	Libro	Barcelona-España	LABOR S.A	1932	Segunda	1	Malo	
120	1M-2E	Fila 1	P 12	D	D5	Petrología	Theoretical Petrology	BARTH, T. F. W.	Ingles	Libro	New York-EEUU	John Wiley and Sons, INC	1962	Segunda	1	Bueno	
121	1M-2E	Fila 1	P 13	D	D5	Petrología	Transformists' Petrology	DRESCHER-KADEN , F. K., AUGUSTITHIS, S.	Ingles	Libro	Atenas-Grecia	Theophrastus Publishing & Proprietary CO, S.A	1982	Primera	1	Bueno	
122	1M-2E	Fila 1	P 14	D	D5	Petrología	Textbook of Lithology	JACKSON, K.C.	Ingles	Libro	EEUU	McGraw-Hill	1970	Primera	1	Malo	
123	1M-2E	Fila 1	P 15	D	D5	Petrología	Ore Petrology	STANTON, R. L.	Ingles	Libro	EEUU	McGraw-Hill	1972	Primera	1	Malo	
124	1M-2E	Fila 1	P 16	D	D5	Petrología	Composition and Petrology of the Earth's Mantle	RINGWOOD, A.E.	Ingles	Libro	EEUU	McGraw-Hill	1975	Primera	1	Bueno	
125	1M-2E	Fila 1	P 17	D	D5	Petrología	Igneous petrology	HALL, A.	Ingles	Libro	New York-EEUU	Longman Group Limited	1987	Primera	1	Bueno	
126	1M-2E	Fila 1	P 18	D	D5	Petrología	Igneous Petrology: 7 Developments in Petrology	HUGHES, Ch. J.	Ingles	Libro	New York-EEUU	Elsevier Publishing Company	1982	Primera	1	Bueno	
127	1M-2E	Fila 1	P 19	D	D5	Petrología	Igneous Petrology	CARMICHAEL, I. S., TURNER, F.,VERHOOGEN, J.	Ingles	Libro	EEUU	McGraw-Hill	1974	Primera	1	Malo	
128	1M-2E	Fila 1	P 20	D	D5	Petrología	Petrology of the Igneous Rocks	HATCH, F. H., WELLS, A.K., WELLS, M.K.	Ingles	Libro	Londres-Reino Unido	George Allen & Unwin Ltd.	1983	Treceava	1	Bueno	
129	1M-2E	Fila 1	P 21	D	D5	Petrología	The Petrology of the Igneous Rocks	HATCH, F. H., WELLS, A.K.	Ingles	Libro	Londres-Reino Unido	George Allen & Unwin Ltd.	1937	Novena	1	Malo	
